K	M	STATISTIC	VALUE
6	160	L_final	603.168
6	160	lanczos_mean	9.84818
6	160	lanczos_min	7
6	160	lanczos_max	252
6	160	lanczos_mean_converged	0
6	160	lanczos_min_converged	0
6	160	lanczos_max_converged	0
6	160	time_input	9.23681
6	160	time_solve	517.519
6	160	compression_ratio	0.0808606
6	170	L_final	529.32
6	170	lanczos_mean	10.005
6	170	lanczos_min	7
6	170	lanczos_max	268
6	170	lanczos_mean_converged	0
6	170	lanczos_min_converged	0
6	170	lanczos_max_converged	0
6	170	time_input	7.74728
6	170	time_solve	572.812
6	170	compression_ratio	0.085883
6	180	L_final	467.022
6	180	lanczos_mean	10.132
6	180	lanczos_min	7
6	180	lanczos_max	283
6	180	lanczos_mean_converged	0
6	180	lanczos_min_converged	0
6	180	lanczos_max_converged	0
6	180	time_input	8.7547
6	180	time_solve	613.275
6	180	compression_ratio	0.0909054
6	190	L_final	414.08
6	190	lanczos_mean	10.2624
6	190	lanczos_min	7
6	190	lanczos_max	297
6	190	lanczos_mean_converged	0
6	190	lanczos_min_converged	0
6	190	lanczos_max_converged	0
6	190	time_input	7.77716
6	190	time_solve	655.759
6	190	compression_ratio	0.0959278
6	200	L_final	369.072
6	200	lanczos_mean	10.4175
6	200	lanczos_min	7
6	200	lanczos_max	308
6	200	lanczos_mean_converged	0
6	200	lanczos_min_converged	0
6	200	lanczos_max_converged	0
6	200	time_input	7.79701
6	200	time_solve	719.891
6	200	compression_ratio	0.10095
6	210	L_final	330.073
6	210	lanczos_mean	10.5446
6	210	lanczos_min	7
6	210	lanczos_max	320
6	210	lanczos_mean_converged	0
6	210	lanczos_min_converged	0
6	210	lanczos_max_converged	0
6	210	time_input	9.0032
6	210	time_solve	768.406
6	210	compression_ratio	0.105973
6	220	L_final	296.229
6	220	lanczos_mean	10.6865
6	220	lanczos_min	7
6	220	lanczos_max	336
6	220	lanczos_mean_converged	0
6	220	lanczos_min_converged	0
6	220	lanczos_max_converged	0
6	220	time_input	7.80983
6	220	time_solve	831.396
6	220	compression_ratio	0.110995
6	230	L_final	266.751
6	230	lanczos_mean	10.8399
6	230	lanczos_min	7
6	230	lanczos_max	352
6	230	lanczos_mean_converged	0
6	230	lanczos_min_converged	0
6	230	lanczos_max_converged	0
6	230	time_input	7.96855
6	230	time_solve	903.786
6	230	compression_ratio	0.116017
6	240	L_final	240.769
6	240	lanczos_mean	10.9686
6	240	lanczos_min	7
6	240	lanczos_max	363
6	240	lanczos_mean_converged	0
6	240	lanczos_min_converged	0
6	240	lanczos_max_converged	0
6	240	time_input	16.4251
6	240	time_solve	954.067
6	240	compression_ratio	0.12104
6	250	L_final	217.811
6	250	lanczos_mean	11.1007
6	250	lanczos_min	7
6	250	lanczos_max	377
6	250	lanczos_mean_converged	0
6	250	lanczos_min_converged	0
6	250	lanczos_max_converged	0
6	250	time_input	14.869
6	250	time_solve	1015.61
6	250	compression_ratio	0.126062
7	160	iterations	79
7	160	L_final	508.37
7	160	lanczos_mean	7.73036
7	160	lanczos_min	6
7	160	lanczos_max	11
7	160	lanczos_mean_converged	247.714
7	160	lanczos_min_converged	245
7	160	lanczos_max_converged	250
7	160	time_input	16.4594
7	160	time_solve	499.987
7	160	compression_ratio	0.0841732
7	170	iterations	79
7	170	L_final	446.236
7	170	lanczos_mean	7.73036
7	170	lanczos_min	6
7	170	lanczos_max	11
7	170	lanczos_mean_converged	264
7	170	lanczos_min_converged	257
7	170	lanczos_max_converged	268
7	170	time_input	16.7783
7	170	time_solve	555.502
7	170	compression_ratio	0.0894013
7	180	iterations	79
7	180	L_final	393.567
7	180	lanczos_mean	7.73036
7	180	lanczos_min	6
7	180	lanczos_max	11
7	180	lanczos_mean_converged	276.714
7	180	lanczos_min_converged	272
7	180	lanczos_max_converged	281
7	180	time_input	16.5133
7	180	time_solve	595.071
7	180	compression_ratio	0.0946295
7	190	iterations	79
7	190	L_final	348.878
7	190	lanczos_mean	7.73036
7	190	lanczos_min	6
7	190	lanczos_max	11
7	190	lanczos_mean_converged	289.714
7	190	lanczos_min_converged	284
7	190	lanczos_max_converged	297
7	190	time_input	16.4229
7	190	time_solve	639.036
7	190	compression_ratio	0.0998576
7	200	iterations	79
