K	M	STATISTIC	VALUE
1	10	iterations	1
1	10	L_final	163361
1	10	lanczos_mean	0
1	10	lanczos_min	0
1	10	lanczos_max	0
1	10	lanczos_mean_converged	0
1	10	lanczos_min_converged	0
1	10	lanczos_max_converged	0
1	10	time_input	1.8812
1	10	time_solve	9.54096
1	10	compression_ratio	0.125008
1	20	iterations	1
1	20	L_final	50172.8
1	20	lanczos_mean	0
1	20	lanczos_min	0
1	20	lanczos_max	0
1	20	lanczos_mean_converged	0
1	20	lanczos_min_converged	0
1	20	lanczos_max_converged	0
1	20	time_input	1.81965
1	20	time_solve	17.6388
1	20	compression_ratio	0.238651
1	30	iterations	1
1	30	L_final	19986.6
1	30	lanczos_mean	0
1	30	lanczos_min	0
1	30	lanczos_max	0
1	30	lanczos_mean_converged	0
1	30	lanczos_min_converged	0
1	30	lanczos_max_converged	0
1	30	time_input	3.13258
1	30	time_solve	23.429
1	30	compression_ratio	0.352294
1	40	iterations	1
1	40	L_final	8324.68
1	40	lanczos_mean	0
1	40	lanczos_min	0
1	40	lanczos_max	0
1	40	lanczos_mean_converged	0
1	40	lanczos_min_converged	0
1	40	lanczos_max_converged	0
1	40	time_input	2.00003
1	40	time_solve	30.4233
1	40	compression_ratio	0.465937
1	50	iterations	1
1	50	L_final	3394.97
1	50	lanczos_mean	0
1	50	lanczos_min	0
1	50	lanczos_max	0
1	50	lanczos_mean_converged	0
1	50	lanczos_min_converged	0
1	50	lanczos_max_converged	0
1	50	time_input	2.28806
1	50	time_solve	37.0355
1	50	compression_ratio	0.57958
1	60	iterations	1
1	60	L_final	1168.38
1	60	lanczos_mean	0
1	60	lanczos_min	0
1	60	lanczos_max	0
1	60	lanczos_mean_converged	0
1	60	lanczos_min_converged	0
1	60	lanczos_max_converged	0
1	60	time_input	2.15558
1	60	time_solve	42.9577
1	60	compression_ratio	0.693224
1	70	iterations	1
1	70	L_final	252.439
1	70	lanczos_mean	0
1	70	lanczos_min	0
1	70	lanczos_max	0
1	70	lanczos_mean_converged	0
1	70	lanczos_min_converged	0
1	70	lanczos_max_converged	0
1	70	time_input	2.22591
1	70	time_solve	34.1429
1	70	compression_ratio	0.806867
1	80	iterations	1
1	80	L_final	5.00094
1	80	lanczos_mean	0
1	80	lanczos_min	0
1	80	lanczos_max	0
1	80	lanczos_mean_converged	0
1	80	lanczos_min_converged	0
1	80	lanczos_max_converged	0
1	80	time_input	2.14857
1	80	time_solve	20.4955
1	80	compression_ratio	0.92051
2	10	iterations	35
2	10	L_final	105720
2	10	lanczos_mean	0
2	10	lanczos_min	0
2	10	lanczos_max	0
2	10	lanczos_mean_converged	0
2	10	lanczos_min_converged	0
2	10	lanczos_max_converged	0
2	10	time_input	2.0196
2	10	time_solve	123.227
2	10	compression_ratio	0.238651
2	20	iterations	35
2	20	L_final	33343.2
2	20	lanczos_mean	0
2	20	lanczos_min	0
2	20	lanczos_max	0
2	20	lanczos_mean_converged	0
2	20	lanczos_min_converged	0
2	20	lanczos_max_converged	0
2	20	time_input	1.88474
2	20	time_solve	132.309
2	20	compression_ratio	0.465938
2	30	iterations	35
2	30	L_final	12534.1
2	30	lanczos_mean	0
2	30	lanczos_min	0
2	30	lanczos_max	0
2	30	lanczos_mean_converged	0
2	30	lanczos_min_converged	0
2	30	lanczos_max_converged	0
2	30	time_input	2.14677
2	30	time_solve	144.142
2	30	compression_ratio	0.693224
2	40	iterations	35
2	40	L_final	5218.04
2	40	lanczos_mean	0
2	40	lanczos_min	0
2	40	lanczos_max	0
2	40	lanczos_mean_converged	0
2	40	lanczos_min_converged	0
2	40	lanczos_max_converged	0
2	40	time_input	2.19529
2	40	time_solve	160.99
2	40	compression_ratio	0.920511
2	50	iterations	35
2	50	L_final	2084.47
2	50	lanczos_mean	0
2	50	lanczos_min	0
2	50	lanczos_max	0
