RUN	STATISTIC	VALUE
000	iterations	69
000	L_final	360.262
000	lanczos_mean	8.08393
000	lanczos_min	7
000	lanczos_max	11
000	lanczos_mean_converged	304.625
000	lanczos_min_converged	295
000	lanczos_max_converged	315
000	time_input	2.94989
000	time_solve	1012.16
000	compression_ratio	0.0999069
001	iterations	62
001	L_final	345.29
001	lanczos_mean	8.64881
001	lanczos_min	6
001	lanczos_max	11
001	lanczos_mean_converged	302.875
001	lanczos_min_converged	299
001	lanczos_max_converged	311
001	time_input	3.21231
001	time_solve	993.694
001	compression_ratio	0.0999069
002	L_final	333.208
002	lanczos_mean	11.1535
002	lanczos_min	6
002	lanczos_max	312
002	lanczos_mean_converged	0
002	lanczos_min_converged	0
002	lanczos_max_converged	0
002	time_input	2.91325
002	time_solve	1088.71
002	compression_ratio	0.0999069
003	iterations	77
003	L_final	328.384
003	lanczos_mean	8.45032
003	lanczos_min	6
003	lanczos_max	10
003	lanczos_mean_converged	304
003	lanczos_min_converged	297
003	lanczos_max_converged	310
003	time_input	3.36539
003	time_solve	1009.68
003	compression_ratio	0.0999069
004	iterations	64
004	L_final	369.711
004	lanczos_mean	8.40385
004	lanczos_min	6
004	lanczos_max	11
004	lanczos_mean_converged	304.5
004	lanczos_min_converged	295
004	lanczos_max_converged	313
004	time_input	2.71152
004	time_solve	1022.74
004	compression_ratio	0.0999069
005	iterations	64
005	L_final	354.19
005	lanczos_mean	8.18846
005	lanczos_min	6
005	lanczos_max	10
005	lanczos_mean_converged	303.5
005	lanczos_min_converged	295
005	lanczos_max_converged	308
005	time_input	3.38559
005	time_solve	959.937
005	compression_ratio	0.0999069
006	L_final	361.578
006	lanczos_mean	11.1213
006	lanczos_min	6
006	lanczos_max	310
006	lanczos_mean_converged	0
006	lanczos_min_converged	0
006	lanczos_max_converged	0
006	time_input	3.35575
006	time_solve	1056.17
006	compression_ratio	0.0999069
007	iterations	39
007	L_final	352.894
007	lanczos_mean	8.41563
007	lanczos_min	6
007	lanczos_max	10
007	lanczos_mean_converged	301.75
007	lanczos_min_converged	294
