K	M	STATISTIC	VALUE
10	10	iterations	52
10	10	L_final	48995.3
10	10	lanczos_mean	7.88868
10	10	lanczos_min	6
10	10	lanczos_max	11
10	10	lanczos_mean_converged	25.8
10	10	lanczos_min_converged	23
10	10	lanczos_max_converged	28
10	10	time_input	16.1265
10	10	time_solve	117.192
10	10	compression_ratio	0.0358404
10	20	iterations	52
10	20	L_final	19114.6
10	20	lanczos_mean	7.88868
10	20	lanczos_min	6
10	20	lanczos_max	11
10	20	lanczos_mean_converged	41.3
10	20	lanczos_min_converged	38
10	20	lanczos_max_converged	45
10	20	time_input	17.4484
10	20	time_solve	127.807
10	20	compression_ratio	0.0711426
10	30	iterations	52
10	30	L_final	10426.6
10	30	lanczos_mean	7.88868
10	30	lanczos_min	6
10	30	lanczos_max	11
10	30	lanczos_mean_converged	56.8
10	30	lanczos_min_converged	55
10	30	lanczos_max_converged	61
10	30	time_input	16.0781
10	30	time_solve	144.336
10	30	compression_ratio	0.106445
10	40	iterations	52
10	40	L_final	6599.56
10	40	lanczos_mean	7.88868
10	40	lanczos_min	6
10	40	lanczos_max	11
10	40	lanczos_mean_converged	71.8
10	40	lanczos_min_converged	69
10	40	lanczos_max_converged	74
10	40	time_input	15.7591
10	40	time_solve	163.58
10	40	compression_ratio	0.141747
10	50	iterations	52
10	50	L_final	4567.62
10	50	lanczos_mean	7.88868
10	50	lanczos_min	6
10	50	lanczos_max	11
10	50	lanczos_mean_converged	88.6
10	50	lanczos_min_converged	84
10	50	lanczos_max_converged	92
10	50	time_input	9.86289
10	50	time_solve	192.849
10	50	compression_ratio	0.177049
10	60	iterations	52
10	60	L_final	3351.46
10	60	lanczos_mean	7.88868
10	60	lanczos_min	6
10	60	lanczos_max	11
10	60	lanczos_mean_converged	103.7
10	60	lanczos_min_converged	100
10	60	lanczos_max_converged	106
10	60	time_input	9.85371
10	60	time_solve	221.155
10	60	compression_ratio	0.212351
10	70	iterations	52
10	70	L_final	2555.76
10	70	lanczos_mean	7.88868
10	70	lanczos_min	6
10	70	lanczos_max	11
10	70	lanczos_mean_converged	118.7
10	70	lanczos_min_converged	113
10	70	lanczos_max_converged	123
