K	M	STATISTIC	VALUE
1	10	iterations	1
1	10	L_final	143483
1	10	lanczos_mean	0
1	10	lanczos_min	0
1	10	lanczos_max	0
1	10	lanczos_mean_converged	0
1	10	lanczos_min_converged	0
1	10	lanczos_max_converged	0
1	10	time_input	42.9799
1	10	time_solve	4.98105
1	10	compression_ratio	0.00388324
1	20	iterations	1
1	20	L_final	66532.6
1	20	lanczos_mean	0
1	20	lanczos_min	0
1	20	lanczos_max	0
1	20	lanczos_mean_converged	0
1	20	lanczos_min_converged	0
1	20	lanczos_max_converged	0
1	20	time_input	43.318
1	20	time_solve	8.61124
1	20	compression_ratio	0.00741346
1	30	iterations	1
1	30	L_final	40175.3
1	30	lanczos_mean	0
1	30	lanczos_min	0
1	30	lanczos_max	0
1	30	lanczos_mean_converged	0
1	30	lanczos_min_converged	0
1	30	lanczos_max_converged	0
1	30	time_input	41.0794
1	30	time_solve	15.2392
1	30	compression_ratio	0.0109437
1	40	iterations	1
1	40	L_final	27665.9
1	40	lanczos_mean	0
1	40	lanczos_min	0
1	40	lanczos_max	0
1	40	lanczos_mean_converged	0
1	40	lanczos_min_converged	0
1	40	lanczos_max_converged	0
1	40	time_input	40.134
1	40	time_solve	23.2539
1	40	compression_ratio	0.0144739
1	50	iterations	1
1	50	L_final	20063.3
1	50	lanczos_mean	0
1	50	lanczos_min	0
1	50	lanczos_max	0
1	50	lanczos_mean_converged	0
1	50	lanczos_min_converged	0
1	50	lanczos_max_converged	0
1	50	time_input	40.5617
1	50	time_solve	30.9717
1	50	compression_ratio	0.0180041
1	60	iterations	1
1	60	L_final	15200
1	60	lanczos_mean	0
1	60	lanczos_min	0
1	60	lanczos_max	0
1	60	lanczos_mean_converged	0
1	60	lanczos_min_converged	0
1	60	lanczos_max_converged	0
1	60	time_input	39.7901
1	60	time_solve	42.0304
1	60	compression_ratio	0.0215343
1	70	iterations	1
1	70	L_final	11867.7
1	70	lanczos_mean	0
1	70	lanczos_min	0
1	70	lanczos_max	0
1	70	lanczos_mean_converged	0
1	70	lanczos_min_converged	0
1	70	lanczos_max_converged	0
1	70	time_input	40.0111
1	70	time_solve	52.772
1	70	compression_ratio	0.0250646
1	80	iterations	1
1	80	L_final	9539.72
1	80	lanczos_mean	0
1	80	lanczos_min	0
1	80	lanczos_max	0
1	80	lanczos_mean_converged	0
1	80	lanczos_min_converged	0
1	80	lanczos_max_converged	0
1	80	time_input	40.0676
1	80	time_solve	67.3954
1	80	compression_ratio	0.0285948
1	90	iterations	1
1	90	L_final	7827.79
1	90	lanczos_mean	0
1	90	lanczos_min	0
1	90	lanczos_max	0
1	90	lanczos_mean_converged	0
1	90	lanczos_min_converged	0
1	90	lanczos_max_converged	0
1	90	time_input	39.8868
1	90	time_solve	83.8669
1	90	compression_ratio	0.032125
1	100	iterations	1
1	100	L_final	6531.12
1	100	lanczos_mean	0
1	100	lanczos_min	0
1	100	lanczos_max	0
1	100	lanczos_mean_converged	0
1	100	lanczos_min_converged	0
1	100	lanczos_max_converged	0
1	100	time_input	41.9704
1	100	time_solve	98.2387
1	100	compression_ratio	0.0356552
1	110	iterations	1
1	110	L_final	5521.1
1	110	lanczos_mean	0
1	110	lanczos_min	0
1	110	lanczos_max	0
1	110	lanczos_mean_converged	0
1	110	lanczos_min_converged	0
1	110	lanczos_max_converged	0
1	110	time_input	39.903
1	110	time_solve	112.513
1	110	compression_ratio	0.0391855
1	120	iterations	1
1	120	L_final	4722.66
1	120	lanczos_mean	0
1	120	lanczos_min	0
1	120	lanczos_max	0
1	120	lanczos_mean_converged	0
1	120	lanczos_min_converged	0
1	120	lanczos_max_converged	0
1	120	time_input	10.0823
1	120	time_solve	133.452
1	120	compression_ratio	0.0427157
1	130	iterations	1
1	130	L_final	4071.85
1	130	lanczos_mean	0
1	130	lanczos_min	0
1	130	lanczos_max	0
1	130	lanczos_mean_converged	0
1	130	lanczos_min_converged	0
1	130	lanczos_max_converged	0
1	130	time_input	9.94383
1	130	time_solve	152.124
1	130	compression_ratio	0.0462459
1	140	iterations	1
1	140	L_final	3538.27
1	140	lanczos_mean	0
1	140	lanczos_min	0
1	140	lanczos_max	0
1	140	lanczos_mean_converged	0
1	140	lanczos_min_converged	0
1	140	lanczos_max_converged	0
1	140	time_input	10.0919
1	140	time_solve	173.957
1	140	compression_ratio	0.0497761
1	150	iterations	1
1	150	L_final	3093.5
1	150	lanczos_mean	0
1	150	lanczos_min	0
1	150	lanczos_max	0
1	150	lanczos_mean_converged	0
1	150	lanczos_min_converged	0
1	150	lanczos_max_converged	0
1	150	time_input	9.89135
1	150	time_solve	189.649
1	150	compression_ratio	0.0533063
1	160	iterations	1
1	160	L_final	2721.75
1	160	lanczos_mean	0
1	160	lanczos_min	0
1	160	lanczos_max	0
1	160	lanczos_mean_converged	0
1	160	lanczos_min_converged	0
1	160	lanczos_max_converged	0
1	160	time_input	10.0629
1	160	time_solve	222.494
1	160	compression_ratio	0.0568366
1	170	iterations	1
1	170	L_final	2406.25
1	170	lanczos_mean	0
1	170	lanczos_min	0
1	170	lanczos_max	0
1	170	lanczos_mean_converged	0
1	170	lanczos_min_converged	0
1	170	lanczos_max_converged	0
1	170	time_input	10.4876
1	170	time_solve	240.307
1	170	compression_ratio	0.0603668
1	180	iterations	1
1	180	L_final	2135.69
1	180	lanczos_mean	0
1	180	lanczos_min	0
1	180	lanczos_max	0
1	180	lanczos_mean_converged	0
1	180	lanczos_min_converged	0
1	180	lanczos_max_converged	0
1	180	time_input	10.0662
1	180	time_solve	247.011
1	180	compression_ratio	0.063897
1	190	iterations	1
1	190	L_final	1908.23
1	190	lanczos_mean	0
1	190	lanczos_min	0
1	190	lanczos_max	0
1	190	lanczos_mean_converged	0
1	190	lanczos_min_converged	0
1	190	lanczos_max_converged	0
1	190	time_input	9.91562
1	190	time_solve	299.624
1	190	compression_ratio	0.0674272
1	200	iterations	1
1	200	L_final	1709.7
1	200	lanczos_mean	0
1	200	lanczos_min	0
1	200	lanczos_max	0
1	200	lanczos_mean_converged	0
1	200	lanczos_min_converged	0
1	200	lanczos_max_converged	0
1	200	time_input	9.86038
1	200	time_solve	320.389
1	200	compression_ratio	0.0709574
2	10	iterations	25
2	10	L_final	115521
2	10	lanczos_mean	0
2	10	lanczos_min	0
2	10	lanczos_max	0
2	10	lanczos_mean_converged	0
2	10	lanczos_min_converged	0
2	10	lanczos_max_converged	0
2	10	time_input	9.9491
2	10	time_solve	32.0342
2	10	compression_ratio	0.00743404
2	20	iterations	25
2	20	L_final	51255.9
2	20	lanczos_mean	0
2	20	lanczos_min	0
2	20	lanczos_max	0
2	20	lanczos_mean_converged	0
2	20	lanczos_min_converged	0
2	20	lanczos_max_converged	0
2	20	time_input	8.69896
2	20	time_solve	36.3145
2	20	compression_ratio	0.0144945
2	30	iterations	25
2	30	L_final	30461.7
2	30	lanczos_mean	0
2	30	lanczos_min	0
2	30	lanczos_max	0
2	30	lanczos_mean_converged	0
2	30	lanczos_min_converged	0
2	30	lanczos_max_converged	0
2	30	time_input	8.88053
2	30	time_solve	46.7297
2	30	compression_ratio	0.0215549
2	40	iterations	25
2	40	L_final	20171.9
2	40	lanczos_mean	0
2	40	lanczos_min	0
2	40	lanczos_max	0
2	40	lanczos_mean_converged	0
2	40	lanczos_min_converged	0
2	40	lanczos_max_converged	0
2	40	time_input	9.01983
2	40	time_solve	54.9556
2	40	compression_ratio	0.0286154
2	50	iterations	25
2	50	L_final	14243.2
2	50	lanczos_mean	0
2	50	lanczos_min	0
2	50	lanczos_max	0
2	50	lanczos_mean_converged	0
2	50	lanczos_min_converged	0
2	50	lanczos_max_converged	0
2	50	time_input	10.521
2	50	time_solve	64.1613
2	50	compression_ratio	0.0356758
2	60	iterations	25
2	60	L_final	10720.8
2	60	lanczos_mean	0
2	60	lanczos_min	0
2	60	lanczos_max	0
2	60	lanczos_mean_converged	0
2	60	lanczos_min_converged	0
2	60	lanczos_max_converged	0
2	60	time_input	12.316
2	60	time_solve	83.8103
2	60	compression_ratio	0.0427362
2	70	iterations	25
2	70	L_final	8321.95
2	70	lanczos_mean	0
