VARIABLE	ENSEMBLE	RMSZ	EXCLUDED
U	g16.000.cam.h0.0001-01-01-00000.nc	1.00344	0
U	g16.001.cam.h0.0001-01-01-00000.nc	1.15347	0
U	g16.002.cam.h0.0001-01-01-00000.nc	0.927692	0
U	g16.003.cam.h0.0001-01-01-00000.nc	0.917013	0
U	g16.004.cam.h0.0001-01-01-00000.nc	1.0153	0
U	g16.005.cam.h0.0001-01-01-00000.nc	1.08975	0
U	g16.006.cam.h0.0001-01-01-00000.nc	1.04859	0
U	g16.007.cam.h0.0001-01-01-00000.nc	0.964965	0
U	g16.008.cam.h0.0001-01-01-00000.nc	0.893686	0
U	g16.009.cam.h0.0001-01-01-00000.nc	0.995974	0
U	g16.010.cam.h0.0001-01-01-00000.nc	1.06399	0
U	g16.011.cam.h0.0001-01-01-00000.nc	1.17699	0
U	g16.012.cam.h0.0001-01-01-00000.nc	1.15779	0
U	g16.013.cam.h0.0001-01-01-00000.nc	0.974407	0
U	g16.014.cam.h0.0001-01-01-00000.nc	1.02261	0
U	g16.015.cam.h0.0001-01-01-00000.nc	1.03948	0
U	g16.016.cam.h0.0001-01-01-00000.nc	0.803426	0
U	g16.017.cam.h0.0001-01-01-00000.nc	1.14578	0
U	g16.018.cam.h0.0001-01-01-00000.nc	1.01805	0
U	g16.019.cam.h0.0001-01-01-00000.nc	1.04654	0
U	g16.020.cam.h0.0001-01-01-00000.nc	1.20005	0
U	g16.021.cam.h0.0001-01-01-00000.nc	0.954881	0
U	g16.022.cam.h0.0001-01-01-00000.nc	0.899402	0
U	g16.023.cam.h0.0001-01-01-00000.nc	0.944015	0
U	g16.024.cam.h0.0001-01-01-00000.nc	1.02239	0
U	g16.025.cam.h0.0001-01-01-00000.nc	0.957567	0
U	g16.026.cam.h0.0001-01-01-00000.nc	1.08128	0
U	g16.027.cam.h0.0001-01-01-00000.nc	1.01694	0
U	g16.028.cam.h0.0001-01-01-00000.nc	0.973183	0
U	g16.029.cam.h0.0001-01-01-00000.nc	1.05736	0
U	g16.030.cam.h0.0001-01-01-00000.nc	0.95774	0
U	g16.031.cam.h0.0001-01-01-00000.nc	0.868548	0
U	g16.032.cam.h0.0001-01-01-00000.nc	0.860748	0
U	g16.033.cam.h0.0001-01-01-00000.nc	0.917476	0
U	g16.034.cam.h0.0001-01-01-00000.nc	0.968933	0
U	g16.035.cam.h0.0001-01-01-00000.nc	0.964042	0
U	g16.036.cam.h0.0001-01-01-00000.nc	1.1317	0
U	g16.037.cam.h0.0001-01-01-00000.nc	1.06834	0
U	g16.038.cam.h0.0001-01-01-00000.nc	0.929714	0
U	g16.039.cam.h0.0001-01-01-00000.nc	1.24279	0
U	g16.040.cam.h0.0001-01-01-00000.nc	1.03264	0
U	g16.041.cam.h0.0001-01-01-00000.nc	0.866279	0
U	g16.042.cam.h0.0001-01-01-00000.nc	0.963518	0
U	g16.043.cam.h0.0001-01-01-00000.nc	0.963819	0
U	g16.044.cam.h0.0001-01-01-00000.nc	0.931302	0
U	g16.045.cam.h0.0001-01-01-00000.nc	1.04133	0
U	g16.046.cam.h0.0001-01-01-00000.nc	0.961372	0
U	g16.047.cam.h0.0001-01-01-00000.nc	1.15864	0
U	g16.048.cam.h0.0001-01-01-00000.nc	1.18986	0
U	g16.049.cam.h0.0001-01-01-00000.nc	0.934527	0
U	g16.050.cam.h0.0001-01-01-00000.nc	0.961133	0
U	g16.051.cam.h0.0001-01-01-00000.nc	0.922088	0
U	g16.052.cam.h0.0001-01-01-00000.nc	1.19896	0
U	g16.053.cam.h0.0001-01-01-00000.nc	1.11806	0
U	g16.054.cam.h0.0001-01-01-00000.nc	1.08277	0
U	g16.055.cam.h0.0001-01-01-00000.nc	0.9289	0
U	g16.056.cam.h0.0001-01-01-00000.nc	0.959586	0
U	g16.057.cam.h0.0001-01-01-00000.nc	1.07282	0
U	g16.058.cam.h0.0001-01-01-00000.nc	1.041	0
U	g16.059.cam.h0.0001-01-01-00000.nc	1.29488	0
U	g16.060.cam.h0.0001-01-01-00000.nc	0.900269	0
U	g16.061.cam.h0.0001-01-01-00000.nc	1.22591	0
U	g16.062.cam.h0.0001-01-01-00000.nc	1.11759	0
U	g16.063.cam.h0.0001-01-01-00000.nc	1.01738	0
U	g16.064.cam.h0.0001-01-01-00000.nc	0.971408	0
U	g16.065.cam.h0.0001-01-01-00000.nc	0.896807	0
U	g16.066.cam.h0.0001-01-01-00000.nc	1.0865	0
U	g16.067.cam.h0.0001-01-01-00000.nc	0.895598	0
U	g16.068.cam.h0.0001-01-01-00000.nc	1.19043	0
U	g16.069.cam.h0.0001-01-01-00000.nc	1.02197	0
U	g16.070.cam.h0.0001-01-01-00000.nc	1.00995	0
U	g16.071.cam.h0.0001-01-01-00000.nc	0.935269	0
U	g16.072.cam.h0.0001-01-01-00000.nc	0.903497	0
U	g16.073.cam.h0.0001-01-01-00000.nc	1.0107	0
U	g16.074.cam.h0.0001-01-01-00000.nc	1.07432	0
U	g16.075.cam.h0.0001-01-01-00000.nc	1.11449	0
U	g16.076.cam.h0.0001-01-01-00000.nc	1.03706	0
U	g16.077.cam.h0.0001-01-01-00000.nc	0.884588	0
U	g16.078.cam.h0.0001-01-01-00000.nc	1.19537	0
U	g16.079.cam.h0.0001-01-01-00000.nc	0.994023	0
U	g16.080.cam.h0.0001-01-01-00000.nc	1.04912	0
U	g16.081.cam.h0.0001-01-01-00000.nc	0.876314	0
U	g16.082.cam.h0.0001-01-01-00000.nc	0.944252	0
U	g16.083.cam.h0.0001-01-01-00000.nc	1.00406	0
U	g16.084.cam.h0.0001-01-01-00000.nc	0.915475	0
U	g16.085.cam.h0.0001-01-01-00000.nc	0.843873	0
U	g16.086.cam.h0.0001-01-01-00000.nc	0.95764	0
U	g16.087.cam.h0.0001-01-01-00000.nc	0.938998	0
U	g16.088.cam.h0.0001-01-01-00000.nc	1.113	0
U	g16.089.cam.h0.0001-01-01-00000.nc	1.00892	0
U	g16.090.cam.h0.0001-01-01-00000.nc	1.02465	0
U	g16.091.cam.h0.0001-01-01-00000.nc	0.930617	0
U	g16.092.cam.h0.0001-01-01-00000.nc	0.917888	0
U	g16.093.cam.h0.0001-01-01-00000.nc	1.00852	0
U	g16.094.cam.h0.0001-01-01-00000.nc	0.952278	0
U	g16.095.cam.h0.0001-01-01-00000.nc	1.01723	0
U	g16.096.cam.h0.0001-01-01-00000.nc	1.12478	0
U	g16.097.cam.h0.0001-01-01-00000.nc	1.07881	0
U	g16.098.cam.h0.0001-01-01-00000.nc	0.99257	0
U	g16.099.cam.h0.0001-01-01-00000.nc	0.923174	0
U	g16.100.cam.h0.0001-01-01-00000.nc	1.30656	0
Z3	g16.000.cam.h0.0001-01-01-00000.nc	1.00741	0
Z3	g16.001.cam.h0.0001-01-01-00000.nc	1.20811	0
Z3	g16.002.cam.h0.0001-01-01-00000.nc	1.17861	0
Z3	g16.003.cam.h0.0001-01-01-00000.nc	0.833687	0
Z3	g16.004.cam.h0.0001-01-01-00000.nc	1.02442	0
Z3	g16.005.cam.h0.0001-01-01-00000.nc	1.09162	0
Z3	g16.006.cam.h0.0001-01-01-00000.nc	0.954959	0
Z3	g16.007.cam.h0.0001-01-01-00000.nc	0.858093	0
Z3	g16.008.cam.h0.0001-01-01-00000.nc	0.823613	0
Z3	g16.009.cam.h0.0001-01-01-00000.nc	0.995837	0
Z3	g16.010.cam.h0.0001-01-01-00000.nc	1.05866	0
Z3	g16.011.cam.h0.0001-01-01-00000.nc	1.30512	0
Z3	g16.012.cam.h0.0001-01-01-00000.nc	1.35741	0
Z3	g16.013.cam.h0.0001-01-01-00000.nc	0.878902	0
Z3	g16.014.cam.h0.0001-01-01-00000.nc	1.00036	0
Z3	g16.015.cam.h0.0001-01-01-00000.nc	1.03808	0
Z3	g16.016.cam.h0.0001-01-01-00000.nc	0.857654	0
Z3	g16.017.cam.h0.0001-01-01-00000.nc	1.17391	0
Z3	g16.018.cam.h0.0001-01-01-00000.nc	0.888825	0
Z3	g16.019.cam.h0.0001-01-01-00000.nc	1.14151	0
Z3	g16.020.cam.h0.0001-01-01-00000.nc	1.17812	0
Z3	g16.021.cam.h0.0001-01-01-00000.nc	0.949291	0
Z3	g16.022.cam.h0.0001-01-01-00000.nc	0.801764	0
Z3	g16.023.cam.h0.0001-01-01-00000.nc	0.971248	0
Z3	g16.024.cam.h0.0001-01-01-00000.nc	0.885132	0
Z3	g16.025.cam.h0.0001-01-01-00000.nc	0.965894	0
Z3	g16.026.cam.h0.0001-01-01-00000.nc	0.963645	0
Z3	g16.027.cam.h0.0001-01-01-00000.nc	0.907712	0
Z3	g16.028.cam.h0.0001-01-01-00000.nc	1.09647	0
Z3	g16.029.cam.h0.0001-01-01-00000.nc	1.04216	0
Z3	g16.030.cam.h0.0001-01-01-00000.nc	1.22503	0
Z3	g16.031.cam.h0.0001-01-01-00000.nc	0.836951	0
Z3	g16.032.cam.h0.0001-01-01-00000.nc	0.806421	0
Z3	g16.033.cam.h0.0001-01-01-00000.nc	1.13452	0
Z3	g16.034.cam.h0.0001-01-01-00000.nc	0.862952	0
