VARIABLE	INFO	VALUE
CCN3	levels	30
CCN3	name	CCN concentration at S=0.1%
SLFLX	levels	31
SLFLX	name	Liquid static energy flux
CLDICE	levels	30
CLDICE	name	Grid box averaged cloud ice amount
FSNTOAC	levels	1
FSNTOAC	name	Clearsky net solar flux at top of atmosphere
FLUTC	levels	1
FLUTC	name	Clearsky upwelling longwave flux at top of model
dst_a1	levels	30
dst_a1	name	dst_a1 concentration
dst_a3	levels	30
dst_a3	name	dst_a3 concentration
TGCLDCWP	levels	1
TGCLDCWP	name	Total grid-box cloud water path (liquid and ice)
SFNUMLIQ	levels	1
SFNUMLIQ	name	NUMLIQ surface flux
IWC	levels	30
IWC	name	Grid box average ice water content
QREFHT	levels	1
QREFHT	name	Reference height humidity
FSNS	levels	1
FSNS	name	Net solar flux at surface
CLDLIQ	levels	30
CLDLIQ	name	Grid box averaged cloud liquid amount
DCQ	levels	30
DCQ	name	Q tendency due to moist processes
PRECSC	levels	1
PRECSC	name	Convective snow rate (water equivalent)
LND_MBL	levels	1
LND_MBL	name	Soil erodibility factor
T700	levels	1
T700	name	Temperature at 700 mbar pressure surface
DSTSFDRY	levels	1
DSTSFDRY	name	Dry deposition flux at surface
PRECSL	levels	1
PRECSL	name	Large-scale (stable) snow rate (water equivalent)
FLDS	levels	1
FLDS	name	Downwelling longwave flux at surface
T	levels	30
T	name	Temperature
VFLX	levels	31
VFLX	name	Meridional momentm flux
KVM	levels	31
KVM	name	Vertical diffusion diffusivities (momentum)
LANDFRAC	levels	1
LANDFRAC	name	Fraction of sfc area covered by land
KVH	levels	31
KVH	name	Vertical diffusion diffusivities (heat/moisture)
dst_a1SF	levels	1
dst_a1SF	name	dst_a1 dust surface emission
CMFDQ	levels	30
CMFDQ	name	QV tendency - shallow convection
pom_a1	levels	30
pom_a1	name	pom_a1 concentration
wat_a2	levels	30
wat_a2	name	aerosol water, interstitial, mode 02
wat_a3	levels	30
wat_a3	name	aerosol water, interstitial, mode 03
wat_a1	levels	30
wat_a1	name	aerosol water, interstitial, mode 01
CLDMED	levels	1
CLDMED	name	Vertically-integrated mid-level cloud
FSDS	levels	1
FSDS	name	Downwelling solar flux at surface
FSNTOA	levels	1
FSNTOA	name	Net solar flux at top of atmosphere
CLDLOW	levels	1
CLDLOW	name	Vertically-integrated low cloud
SLV	levels	30
SLV	name	Liq wat virtual static energy
DMS	levels	30
DMS	name	DMS concentration
CLDFSNOW	levels	30
CLDFSNOW	name	CLDFSNOW
SHFLX	levels	1
SHFLX	name	Surface sensible heat flux
SFCLDICE	levels	1
SFCLDICE	name	CLDICE surface flux
DTV	levels	30
DTV	name	T vertical diffusion
PS	levels	1
PS	name	Surface pressure
CLDTOT	levels	1
CLDTOT	name	Vertically-integrated total cloud
TKE	levels	31
TKE	name	Turbulent Kinetic Energy
H2O2	levels	30
H2O2	name	H2O2 concentration
ANRAIN	levels	30
ANRAIN	name	Average rain number conc
SWCF	levels	1
SWCF	name	Shortwave cloud forcing
CMFMCDZM	levels	31
CMFMCDZM	name	Convection mass flux from ZM deep
AEROD_v	levels	1
AEROD_v	name	Total Aerosol Optical Depth in visible band
SFNUMICE	levels	1
SFNUMICE	name	NUMICE surface flux
dgnd_a03	levels	30
dgnd_a03	name	dry dgnum, interstitial, mode 03
AODABS	levels	1
AODABS	name	Aerosol absorption optical depth 550 nm
SSTSFWET	levels	1
SSTSFWET	name	Wet deposition flux at surface
FREQL	levels	30
FREQL	name	Fractional occurance of liquid
TAUX	levels	1
TAUX	name	Zonal surface stress
TAUY	levels	1
TAUY	name	Meridional surface stress
ICIMR	levels	30
ICIMR	name	Prognostic in-cloud ice mixing ratio
SRFRAD	levels	1
SRFRAD	name	Net radiative flux at surface
Z3	levels	30
Z3	name	Geopotential Height (above sea level)
TREFMXAV	levels	1
TREFMXAV	name	Average of TREFHT daily maximum
WSUB	levels	30
WSUB	name	Diagnostic sub-grid vertical velocity
BURDEN3	levels	1
BURDEN3	name	Aerosol burden mode 3
BURDEN2	levels	1
BURDEN2	name	Aerosol burden mode 2
BURDEN1	levels	1
BURDEN1	name	Aerosol burden mode 1
FREQS	levels	30
FREQS	name	Fractional occurance of snow
FLNSC	levels	1
FLNSC	name	Clearsky net longwave flux at surface
CDNUMC	levels	1
CDNUMC	name	Vertically-integrated droplet concentration
AQSNOW	levels	30
AQSNOW	name	Average snow mixing ratio
NUMICE	levels	30
NUMICE	name	Grid box averaged cloud ice number
CLDHGH	levels	1
CLDHGH	name	Vertically-integrated high cloud
Q	levels	30
Q	name	Specific humidity
QFLX	levels	1
QFLX	name	Surface water flux
PSL	levels	1
PSL	name	Sea level pressure
VQ	levels	30
VQ	name	Meridional water transport
UU	levels	30
UU	name	Zonal velocity squared
WTKE	levels	30
WTKE	name	Standard deviation of updraft velocity
FLNS	levels	1
FLNS	name	Net longwave flux at surface
FLNT	levels	1
FLNT	name	Net longwave flux at top of model
ATMEINT	levels	1
