VARIABLE	K	M	STATISTIC	VALUE
CCN3	6	160	min_original	3.37544e-05
CCN3	6	160	max_original	1237.94
CCN3	6	160	mean_original	26.6431
CCN3	6	160	std_original	55.6838
CCN3	6	160	min_reconstructed	-7.59406
CCN3	6	160	max_reconstructed	1247.26
CCN3	6	160	mean_reconstructed	26.6431
CCN3	6	160	std_reconstructed	55.6644
CCN3	6	160	max_error	0.0418185
CCN3	6	160	rms_error	0.00118824
CCN3	6	160	correlation	0.999651
CCN3	6	160	srr	5.24242
CCN3	6	160	precisionbits	3.57972
dst_a1	6	160	min_original	3.56598e-14
dst_a1	6	160	max_original	1.95292e-07
dst_a1	6	160	mean_original	6.50608e-10
dst_a1	6	160	std_original	3.33261e-09
dst_a1	6	160	min_reconstructed	-2.13165e-09
dst_a1	6	160	max_reconstructed	2.04336e-07
dst_a1	6	160	mean_reconstructed	6.50608e-10
dst_a1	6	160	std_reconstructed	3.32854e-09
dst_a1	6	160	max_error	0.0463107
dst_a1	6	160	rms_error	0.000842786
dst_a1	6	160	correlation	0.99878
dst_a1	6	160	srr	4.33971
dst_a1	6	160	precisionbits	3.43251
dst_a3	6	160	min_original	9.76073e-22
dst_a3	6	160	max_original	4.80757e-06
dst_a3	6	160	mean_original	8.21532e-09
dst_a3	6	160	std_original	5.82361e-08
dst_a3	6	160	min_reconstructed	-4.79295e-08
dst_a3	6	160	max_reconstructed	4.88982e-06
dst_a3	6	160	mean_reconstructed	8.21532e-09
dst_a3	6	160	std_reconstructed	5.81504e-08
dst_a3	6	160	max_error	0.046529
dst_a3	6	160	rms_error	0.000657116
dst_a3	6	160	correlation	0.998528
dst_a3	6	160	srr	4.20432
dst_a3	6	160	precisionbits	3.42573
CLDICE	6	160	min_original	0
CLDICE	6	160	max_original	7.20326e-05
CLDICE	6	160	mean_original	7.17942e-07
CLDICE	6	160	std_original	1.7575e-06
CLDICE	6	160	min_reconstructed	-6.8393e-07
CLDICE	6	160	max_reconstructed	7.16441e-05
CLDICE	6	160	mean_reconstructed	7.17942e-07
CLDICE	6	160	std_reconstructed	1.75547e-06
CLDICE	6	160	max_error	0.0412082
CLDICE	6	160	rms_error	0.0011726
CLDICE	6	160	correlation	0.998844
CLDICE	6	160	srr	4.37902
CLDICE	6	160	precisionbits	3.60092
IWC	6	160	min_original	0
IWC	6	160	max_original	4.12265e-05
IWC	6	160	mean_original	7.71055e-07
IWC	6	160	std_original	2.23987e-06
IWC	6	160	min_reconstructed	-1.40548e-06
IWC	6	160	max_reconstructed	4.13387e-05
IWC	6	160	mean_reconstructed	7.71055e-07
IWC	6	160	std_reconstructed	2.23864e-06
IWC	6	160	max_error	0.115481
IWC	6	160	rms_error	0.00179951
IWC	6	160	correlation	0.999451
IWC	6	160	srr	4.91609
IWC	6	160	precisionbits	2.11427
CLDLIQ	6	160	min_original	4.23516e-22
CLDLIQ	6	160	max_original	0.00016955
CLDLIQ	6	160	mean_original	3.0711e-06
CLDLIQ	6	160	std_original	7.7193e-06
CLDLIQ	6	160	min_reconstructed	-4.3462e-06
CLDLIQ	6	160	max_reconstructed	0.00016628
CLDLIQ	6	160	mean_reconstructed	3.0711e-06
CLDLIQ	6	160	std_reconstructed	7.71091e-06
CLDLIQ	6	160	max_error	0.0779214
CLDLIQ	6	160	rms_error	0.00212284
CLDLIQ	6	160	correlation	0.998912
CLDLIQ	6	160	srr	4.42269
CLDLIQ	6	160	precisionbits	2.68184
DCQ	6	160	min_original	-1.92217e-07
DCQ	6	160	max_original	4.15146e-08
DCQ	6	160	mean_original	-3.7514e-09
DCQ	6	160	std_original	1.08604e-08
DCQ	6	160	min_reconstructed	-1.89889e-07
DCQ	6	160	max_reconstructed	3.98228e-08
DCQ	6	160	mean_reconstructed	-3.7514e-09
DCQ	6	160	std_reconstructed	1.08515e-08
DCQ	6	160	max_error	0.0476078
DCQ	6	160	rms_error	0.00188053
DCQ	6	160	correlation	0.999181
DCQ	6	160	srr	4.62694
DCQ	6	160	precisionbits	3.39266
T	6	160	min_original	189.082
T	6	160	max_original	303.072
T	6	160	mean_original	242.867
T	6	160	std_original	32.7865
T	6	160	min_reconstructed	188.981
T	6	160	max_reconstructed	302.93
T	6	160	mean_reconstructed	242.867
T	6	160	std_reconstructed	32.7863
T	6	160	max_error	0.0508227
T	6	160	rms_error	0.000904017
T	6	160	correlation	0.999995
T	6	160	srr	8.31363
T	6	160	precisionbits	3.29838
CMFDQ	6	160	min_original	-1.88457e-07
CMFDQ	6	160	max_original	3.40484e-08
CMFDQ	6	160	mean_original	-3.21044e-09
CMFDQ	6	160	std_original	1.04241e-08
CMFDQ	6	160	min_reconstructed	-1.78912e-07
CMFDQ	6	160	max_reconstructed	3.32372e-08
CMFDQ	6	160	mean_reconstructed	-3.21044e-09
CMFDQ	6	160	std_reconstructed	1.04189e-08
CMFDQ	6	160	max_error	0.0512152
CMFDQ	6	160	rms_error	0.00147854
CMFDQ	6	160	correlation	0.999502
CMFDQ	6	160	srr	4.98576
CMFDQ	6	160	precisionbits	3.28729
pom_a1	6	160	min_original	1.37156e-14
pom_a1	6	160	max_original	2.42032e-08
pom_a1	6	160	mean_original	1.16573e-10
pom_a1	6	160	std_original	4.27212e-10
pom_a1	6	160	min_reconstructed	-2.84059e-10
pom_a1	6	160	max_reconstructed	2.34384e-08
pom_a1	6	160	mean_reconstructed	1.16573e-10
pom_a1	6	160	std_reconstructed	4.26439e-10
pom_a1	6	160	max_error	0.105904
pom_a1	6	160	rms_error	0.00106161
pom_a1	6	160	correlation	0.99819
