VARIABLE	K	M	STATISTIC	VALUE
CCN3	1	10	min_original	3.37544e-05
CCN3	1	10	max_original	1237.94
CCN3	1	10	mean_original	26.6431
CCN3	1	10	std_original	55.6838
CCN3	1	10	min_reconstructed	-53.1072
CCN3	1	10	max_reconstructed	275.846
CCN3	1	10	mean_reconstructed	26.6431
CCN3	1	10	std_reconstructed	46.6794
CCN3	1	10	max_error	0.781975
CCN3	1	10	rms_error	0.0245246
CCN3	1	10	correlation	0.838294
CCN3	1	10	srr	0.875093
CCN3	1	10	precisionbits	-0.645194
dst_a1	1	10	min_original	3.56598e-14
dst_a1	1	10	max_original	1.95292e-07
dst_a1	1	10	mean_original	6.50608e-10
dst_a1	1	10	std_original	3.33261e-09
dst_a1	1	10	min_reconstructed	-4.90214e-09
dst_a1	1	10	max_reconstructed	7.47866e-09
dst_a1	1	10	mean_reconstructed	6.50608e-10
dst_a1	1	10	std_reconstructed	1.36705e-09
dst_a1	1	10	max_error	0.96575
dst_a1	1	10	rms_error	0.015563
dst_a1	1	10	correlation	0.410203
dst_a1	1	10	srr	0.132903
dst_a1	1	10	precisionbits	-0.949722
dst_a3	1	10	min_original	9.76073e-22
dst_a3	1	10	max_original	4.80757e-06
dst_a3	1	10	mean_original	8.21532e-09
dst_a3	1	10	std_original	5.82361e-08
dst_a3	1	10	min_reconstructed	-8.74119e-08
dst_a3	1	10	max_reconstructed	1.14453e-07
dst_a3	1	10	mean_reconstructed	8.21532e-09
dst_a3	1	10	std_reconstructed	2.05958e-08
dst_a3	1	10	max_error	0.979028
dst_a3	1	10	rms_error	0.0113306
dst_a3	1	10	correlation	0.35366
dst_a3	1	10	srr	0.0963847
dst_a3	1	10	precisionbits	-0.969422
CLDICE	1	10	min_original	0
CLDICE	1	10	max_original	7.20326e-05
CLDICE	1	10	mean_original	7.17942e-07
CLDICE	1	10	std_original	1.7575e-06
CLDICE	1	10	min_reconstructed	-3.25003e-06
CLDICE	1	10	max_reconstructed	1.15476e-05
CLDICE	1	10	mean_reconstructed	7.17942e-07
CLDICE	1	10	std_reconstructed	1.33979e-06
CLDICE	1	10	max_error	0.83969
CLDICE	1	10	rms_error	0.0157907
CLDICE	1	10	correlation	0.762327
CLDICE	1	10	srr	0.627733
CLDICE	1	10	precisionbits	-0.747928
IWC	1	10	min_original	0
IWC	1	10	max_original	4.12265e-05
IWC	1	10	mean_original	7.71055e-07
IWC	1	10	std_original	2.23987e-06
IWC	1	10	min_reconstructed	-4.87594e-06
IWC	1	10	max_reconstructed	1.26433e-05
IWC	1	10	mean_reconstructed	7.71055e-07
IWC	1	10	std_reconstructed	1.61197e-06
